domain,pc1,afm,afm_bias,afm_min,afm_rely,fc,mbfc,mbfc_bias,mbfc_fact,mbfc_min,lewandowsky_acc,lewandowsky_trans,lewandowsky_rely,lewandowsky_mean,lewandowsky_min,misinfome_bin
shreveporttimes.com,0.925960447501987,0.88043475151062,0.852782487869263,0.851192533969879,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
therepublic.com,0.925960447501987,0.88043475151062,0.852782487869263,0.851192533969879,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
ktva.com,0.921904737212624,0.866671204566956,0.84359222650528,0.837914347648621,0.891922056674957,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
democratherald.com,0.921779883180691,0.875077486038208,0.864821553230286,0.845537424087524,0.894827544689179,0.597544729709625,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
opensecrets.org,0.921590582422343,0.753626585006714,0.735852718353272,0.715782046318054,0.795042216777802,0.693964064121246,1,1,1,1,1,1,1,1,1,1
news.harvard.edu,0.920857173139642,0.905175447463989,0.897003054618835,0.885331809520721,0.911258637905121,0.658454120159149,0.83963680267334,0.919999241828918,0.833429217338562,0.835407972335815,1,1,1,1,1,1
foreignpolicy.com,0.918863055218116,0.8733,0.9093,0.8373,0.8373,0.601968705654144,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
telegram.com,0.91841466496127,0.85875791311264,0.838503301143646,0.835326790809631,0.885380566120148,0.632299184799194,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
rand.org,0.91841466496127,0.85875791311264,0.838503301143646,0.835326790809631,0.885380566120148,0.632299184799194,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
southbendtribune.com,0.91841466496127,0.85875791311264,0.838503301143646,0.835326790809631,0.885380566120148,0.632299184799194,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
metrowestdailynews.com,0.91841466496127,0.85875791311264,0.838503301143646,0.835326790809631,0.885380566120148,0.632299184799194,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
gallup.com,0.918225504110308,0.748448014259338,0.714988946914673,0.698224365711212,0.800858318805695,0.693964064121246,1,1,1,1,1,1,1,1,1,1
missoulian.com,0.918102661836263,0.8723024725914,0.855739533901215,0.845564424991608,0.887825787067413,0.570843279361725,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
theconversation.com,0.91790623699568,0.748300075531006,0.713686525821686,0.698224365711212,0.799021303653717,0.693964064121246,1,1,1,1,1,1,1,1,1,1
pewresearch.org,0.91790623699568,0.748300075531006,0.713686525821686,0.698224365711212,0.799021303653717,0.693964064121246,1,1,1,1,1,1,1,1,1,1
factcheck.org,0.91790623699568,0.748300075531006,0.713686525821686,0.698224365711212,0.799021303653717,0.693964064121246,1,1,1,1,1,1,1,1,1,1
ksnblocal4.com,0.917830484256026,0.858011543750763,0.835080981254578,0.835326790809631,0.883305966854096,0.632299184799194,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
lesoir.be,0.917551873250631,0.868336319923401,0.85386323928833,0.845564424991608,0.887825787067413,0.570843279361725,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
daily-journal.com,0.917551873250631,0.868336319923401,0.85386323928833,0.845564424991608,0.887825787067413,0.570843279361725,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
bmj.com,0.917500628260245,0.748300075531006,0.713686525821686,0.698224365711212,0.799021303653717,0.693964064121246,1,0.996537327766418,1,1,1,1,1,1,1,1
healthfeedback.org,0.917500628260245,0.748300075531006,0.713686525821686,0.698224365711212,0.799021303653717,0.693964064121246,1,0.996537327766418,1,1,1,1,1,1,1,1
sciencemag.org,0.917500628260245,0.748300075531006,0.713686525821686,0.698224365711212,0.799021303653717,0.693964064121246,1,0.996537327766418,1,1,1,1,1,1,1,1
the-scientist.com,0.917500628260245,0.748300075531006,0.713686525821686,0.698224365711212,0.799021303653717,0.693964064121246,1,0.996537327766418,1,1,1,1,1,1,1,1
paho.org,0.917068229614952,0.899029314517975,0.890613496303558,0.881105601787567,0.906010746955872,0.646307051181793,0.8333,0.919999241828918,0.8333,0.8333,1,1,1,1,1,1
realmofhistory.com,0.917068229614952,0.899029314517975,0.890613496303558,0.881105601787567,0.906010746955872,0.646307051181793,0.8333,0.919999241828918,0.8333,0.8333,1,1,1,1,1,1
bullshido.net,0.917046009240808,0.865516006946564,0.852881848812103,0.832222938537598,0.878787100315094,0.600309431552887,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
quantamagazine.org,0.915776893019192,0.74437415599823,0.71354603767395,0.698224365711212,0.786443471908569,0.693964064121246,1,0.996537327766418,1,1,1,1,1,1,1,1
castanet.net,0.915503299833536,0.860269725322723,0.846505224704742,0.832222938537598,0.876896142959595,0.596326053142548,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
benzinga.com,0.913680907435032,0.844365239143372,0.812009453773499,0.824676811695099,0.885080933570862,0.632299184799194,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
kait8.com,0.913680907435032,0.844365239143372,0.812009453773499,0.824676811695099,0.885080933570862,0.632299184799194,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
courier-tribune.com,0.913680907435032,0.844365239143372,0.812009453773499,0.824676811695099,0.885080933570862,0.632299184799194,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
sun-sentinel.com,0.912897060376715,0.8583,0.8301,0.8301,0.8864,0.57081526517868,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
observatory.journalism.wisc.edu,0.911973046779559,0.836065351963043,0.808912992477417,0.803138911724091,0.874540328979492,0.66706520318985,0.907745480537415,0.996537327766418,0.833429217338562,0.847259640693665,1,1,1,1,1,1
newsfactsnetwork.com,0.911970087388526,0.892464756965637,0.897634744644165,0.87580931186676,0.892177522182465,0.593237280845642,0.83963680267334,0.919999241828918,0.833429217338562,0.83395791053772,1,1,1,1,1,1
bleepingcomputer.com,0.911884947823762,0.836065351963043,0.808912992477417,0.803138911724091,0.874540328979492,0.66706520318985,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
i24news.tv,0.911884947823762,0.836065351963043,0.808912992477417,0.803138911724091,0.874540328979492,0.66706520318985,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
bangkokpost.com,0.911884947823762,0.836065351963043,0.808912992477417,0.803138911724091,0.874540328979492,0.66706520318985,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
